stop_id,stop_name,routes
bus-spbu-condongcatur-w-a4e66ecc,SPBU Condongcatur (Barat),12|2A|4B
bus-spbu-condongcatur-e-794333df,SPBU Condongcatur (Timur),12|2B|4A
bus-spbu-jakal-w-5de81e09,SPBU Jakal (B),12
bus-spbu-jakal-e-21fa9d89,SPBU Jakal (T),12
bus-spbu-kaliurang-5896c57f,SPBU Kaliurang,12
bus-spbu-mindi-6c8960fa,SPBU Mindi,14
bus-spbu-mindi-s-47802fe3,SPBU Mindi (S),14
bus-spbu-mindi-n-d1ad7bf8,SPBU Mindi (U),14
bus-spbu-mindi-2-ce3fb31c,SPBU Mindi 2,14
bus-spbu-monjali-w-7e90b609,SPBU Monjali (Barat),2B|5A
bus-spbu-monjali-e-8ca8e172,SPBU Monjali (Timur),2A|5B
bus-stsrd-visi-tamansiswa-77a7a21f,STSRD Visi Tamansiswa,4B
bus-salakan-druwo-4c17bc86,Salakan Druwo,9
bus-selokan-mataram-maguwo-6164f755,Selokan Mataram Maguwo,14
bus-simpang-babadan-c39aa2ae,Simpang Babadan,14
bus-simpang-babadan-w-27e9420a,Simpang Babadan (B),14
bus-simpang-babadan-e-3395a15a,Simpang Babadan (T),14
bus-simpang-babadan-2-e5b06fc4,Simpang Babadan 2,14
bus-simpang-bantulan-s-6078c446,Simpang Bantulan (S),13
bus-simpang-bantulan-n-a468e92b,Simpang Bantulan (U),13
bus-simpang-besi-jakal-w-586c481c,Simpang Besi Jakal (B),12
bus-simpang-besi-jakal-e-f8dc4eec,Simpang Besi Jakal (T),12
bus-simpang-besi-jangkang-4d0a717a,Simpang Besi Jangkang,12|14
bus-simpang-besi-jangkang-2-3ce47645,Simpang Besi Jangkang 2,12|14
bus-simpang-degolan-w-7a0abd76,Simpang Degolan (B),12
bus-simpang-degolan-e-2f99e19e,Simpang Degolan (T),12
bus-simpang-dogolan-dab8862a,Simpang Dogolan,12|14
bus-simpang-dogolan-2-b22541ba,Simpang Dogolan 2,12|14
bus-simpang-dongkelan-d0234b3a,Simpang Dongkelan,15
bus-simpang-dongkelan-halte-2-40d99d82,Simpang Dongkelan (Halte 2),15
bus-simpang-gesikan-3cb84e29,Simpang Gesikan,13
bus-simpang-gesikan-s-97fee7b8,Simpang Gesikan (S),13
bus-simpang-gesikan-n-5f50bca2,Simpang Gesikan (U),13
bus-simpang-gesikan-2-fc161a14,Simpang Gesikan 2,13
bus-simpang-godean-nogotirto-1b7226f0,Simpang Godean Nogotirto,13|8
bus-simpang-kabunan-9d1322f0,Simpang Kabunan,14
bus-simpang-kabunan-halte-2-36d11693,Simpang Kabunan (Halte 2),14
bus-simpang-kabunan-n-7a88e0fe,Simpang Kabunan (U),14
bus-simpang-kenti-w-9f31bb58,Simpang Kenti (B),14
bus-simpang-kenti-e-7adc0592,Simpang Kenti (T),14
bus-simpang-losari-cozy-51845a25,Simpang Losari (Cozy),14
bus-simpang-losari-s-6d79dc16,Simpang Losari (S),14
bus-simpang-losari-n-66931fad,Simpang Losari (U),14
bus-simpang-mandungan-iwak-kalen-9f9a83fc,Simpang Mandungan (Iwak Kalen),13
bus-simpang-mandungan-iwak-kalen-2-e86f2aa4,Simpang Mandungan (Iwak Kalen) 2,13
bus-simpang-mandungan-s-47f3abcf,Simpang Mandungan (S),13
bus-simpang-mandungan-n-8202f0dc,Simpang Mandungan (U),13
bus-simpang-munggur-94a899fe,Simpang Munggur,13
bus-simpang-munggur-s-cd527d2a,Simpang Munggur (S),13
bus-simpang-munggur-n-d001f974,Simpang Munggur (U),13
bus-simpang-munggur-sidomoyo-153bef9c,Simpang Munggur Sidomoyo,13
bus-simpang-palem-raya-w-c647ecce,Simpang Palem Raya (B),12
bus-simpang-palem-raya-e-c72c93bc,Simpang Palem Raya (Timur),12
bus-simpang-pasar-jangkang-6b931381,Simpang Pasar Jangkang,14
bus-simpang-pasar-jangkang-halte-2-b656e0eb,Simpang Pasar Jangkang (Halte 2),14
bus-simpang-polsek-godean-e69bfb23,Simpang Polsek Godean,13
bus-simpang-polsek-godean-2-a9bcfcc0,Simpang Polsek Godean 2,13
bus-simpang-selomartani-884b05f3,Simpang Selomartani,14
bus-simpang-selomartani-n-8a80108b,Simpang Selomartani (U),14
bus-simpang-selomartani-2-71176374,Simpang Selomartani 2,14
bus-sosrowijayan-dcdae1fc,Sosrowijayan,3B|8|EV3
bus-superindo-jakal-w-7c86126c,Superindo Jakal (B),12
bus-superindo-jakal-e-c89a3713,Superindo Jakal (T),12
bus-superindo-kaliurang-55a294ae,Superindo Kaliurang,12
bus-superindo-kaliurang-halte-2-ac22e6e8,Superindo Kaliurang (Halte 2),12
bus-suryodiningratan-w-774bda0f,Suryodiningratan (Barat),11
bus-suryodiningratan-e-0ee7519f,Suryodiningratan (Timur),11
bus-susteran-novisiat-33aaae59,Susteran Novisiat,12|2B|4A
bus-susteran-novisiat-e-5af4d58e,Susteran Novisiat (T),12
bus-rru-disnaker-eeaaa2dd,TJ RRU Disnaker,14|3A
bus-tk-bias-e-49f1378f,TK BIAS (T),12
bus-tk-bias-kaliurang-cb4024c2,TK Bias Kaliurang,12
bus-amik-bsi-60e8ad5a,TPB AMIK BSI,6
bus-apotek-muji-sehat-948061e4,TPB Apotek Muji Sehat,6
bus-bkpm-diy-c690757d,TPB BKPM DIY,1B
bus-bri-umy-8fdcca3e,TPB BRI UMY,6
bus-banguntapan-1-gedong-kuning-50b8a187,TPB Banguntapan 1 Gedong Kuning,2A|3A
