stop_id,stop_name,routes
bus-eks-bioskop-mataram-fcd6b8b6,TPB Eks Bioskop Mataram,2A
bus-gambiran-2-jalan-veteran-kota-1d0703dd,TPB Gambiran 2 Jl. Veteran Kota,2A
bus-gedung-madu-candhya-1-7aa1ea1b,TPB Gedung Madu Candhya 1,6
bus-gedung-madu-candhya-2-3a76d53b,TPB Gedung Madu Candhya 2,6
bus-hotel-pramesthi-063819fe,TPB Hotel Pramesthi,11
bus-hotel-vidi-jakal-f9ee9a87,TPB Hotel Vidi Jakal,12|3B|4A|5B
bus-jalan-mayjen-sutoyo-plengkung-gading-e73901f8,TPB Jl. Mayjen Sutoyo (Plengkung Gading),3A|9
bus-jalan-mayor-suryotomo-78bd4048,TPB Jl. Mayor Suryotomo,6
bus-jalan-mayor-suryotomo-1-c556f1ef,TPB Jl. Mayor Suryotomo 1,1A
bus-jalan-pramuka-f6939358,TPB Jl. Pramuka,4A|4B
bus-jalan-veteran-d6be785d,TPB Jl. Veteran,2B
bus-kasihan-d9bd2111,TPB Kasihan,6
bus-katamso-1-purawisata-5990e6fb,TPB Katamso 1 (Purawisata),2A
bus-kehutanan-gedongkuning-d6464bd8,TPB Kehutanan Gedongkuning,2B|3B
bus-lap-karang-kotagede-85bec77d,TPB Lap. Karang Kotagede,3B
bus-lap-kasihan-b684de58,TPB Lap. Kasihan,6
bus-lapangan-karang-5bfabf8e,TPB Lapangan Karang,3A
bus-mt-haryono-1-jokteng-kulon-be1d0306,TPB MT Haryono 1 (Jokteng Kulon),11|3A|9
bus-makam-sorogenen-1814bab5,TPB Makam Sorogenen,1A
bus-manna-kampus-d2f38df1,TPB Manna Kampus,1B|3A|5B
bus-manna-kampus-transmart-maguwo-85fe6e11,TPB Manna Kampus- Transmart Maguwo,1A
bus-museum-bahari-1-6c9571e7,TPB Museum Bahari 1,10
bus-museum-bahari-2-26c36bd9,TPB Museum Bahari 2,10
bus-pa-muhammadiyah-a2f5c15d,TPB PA Muhammadiyah,3B
bus-pasar-sepeda-tunjungsari-c4695341,TPB Pasar Sepeda Tunjungsari,2B|4A
bus-pasar-telo-1-a1824672,TPB Pasar Telo 1,11
bus-pasar-telo-2-124ef082,TPB Pasar Telo 2,11
bus-pegadaian-edf98ce4,TPB Pegadaian,3B
bus-pelem-gurih-b79f91fc,TPB Pelem Gurih,10
bus-pilar-1-gedong-kuning-kota-31b75629,TPB Pilar 1 Gedong Kuning Kota,2A|3A
bus-polsek-depok-timur-74b977a6,TPB Polsek Depok Timur,3A|3B
bus-poltekkes-bsi-a1e35c13,TPB Poltekkes BSI,2B|3B
bus-ponpes-hamatul-quran-0542f85d,TPB Ponpes Hamatul Quran,6
bus-purawisata-39337894,TPB Purawisata,2B
bus-re-martadinata-51558c5d,TPB RE Martadinata,11|9
