stop_name,candidate_activity_id,candidate_name,longitude,latitude,routes,score
TPB Tegal Turi 2,6a893073478dc3b356b7399a,Halte Tegal Turi A,110.3871334359431,-7.825409998099445,3B,0.750000
Portabel Tejokusuman (Tamansari),6a856ccabbd0aa678bab85c4,Halte Tejokusuman,110.35606982877533,-7.807940761615626,10|11|15|3B|6|9,0.612500
Halte A.M. Sangaji (Timur),6a843c203dbe4dacc783ecde,Halte Trans Jogja - AM Sangaji A,110.3680010204705,-7.775783749473433,2A,0.721739
AM Sangaji (Barat),6a843c203dbe4dacc783ecde,Halte Trans Jogja - AM Sangaji A,110.3680010204705,-7.775783749473433,2B,0.812121
Halte Ambarukmo,6a82c8b59870dcf66e45b513,Halte Trans Jogja - Ambarukmo A,110.40175269005846,-7.783276422768978,1A|5B,0.740000
Bandara Adisutjipto,6a8961f652d86e03b5187355,Halte Trans Jogja - Bandara Adi Sucipto,110.43609695062298,-7.784580417870302,14,0.636842
Halte TJ Bandara Adisucipto,6a8961f652d86e03b5187355,Halte Trans Jogja - Bandara Adi Sucipto,110.43609695062298,-7.784580417870302,1A|1B|3A|3B|5B,0.683784
Eks Borobudur Plaza,6a828cb470c999b67933ee47,Halte Trans Jogja - Borobudhur Plaza,110.36205652519521,-7.778807194560243,2B|5A,0.614286
Halte Jl. Solo (Jayakarta),6a82e6214fd70be4125d2fb9,Halte Trans Jogja - Halte Jalan Solo KR.1,110.4505629589354,-7.781743084004972,1A|1B|3B|5B,0.605714
RS Bhayangkara,6a86d589460277aa84152f9e,Halte Trans Jogja - Halte RS Bhayangkara B,110.47171253495856,-7.766707608845564,1A,0.826667
Terminal Bangunan,6a8d6eb952d86e03b51ac23f,Halte Trans Jogja - Halte Terminal Giwangan,110.39183977163486,-7.834127418517099,12,0.627451
Transmart Maguwo,6a8da00952d86e03b51b032c,Halte Trans Jogja - Halte Transmart,110.42021687192937,-7.783282058129885,1B|3A|5B,0.632000
