source_id,kind,name,longitude,latitude,observed_at,source
6a93942452d86e03b51e3379,halte,Halte Dr. Sutopo Kota Barat,110.37774892838047,-7.79567313411313,2026-08-30T02:23:32.817Z,mapid_activities
6a8d030852d86e03b51a6199,halte,Halte DR. Yap,110.37518791008392,-7.781194844807317,2026-08-25T02:50:48.266Z,mapid_activities
6a8d3c3052d86e03b51a9270,halte,Halte Druwo A,110.36646357747759,-7.833864879801714,2026-08-25T06:54:40.657Z,mapid_activities
6a8d3c84eca288692ef3a5ff,halte,Halte Druwo B,110.36666430409952,-7.833556389829525,2026-08-25T06:56:04.556Z,mapid_activities
6a8569d6bbd0aa678bab8408,halte,Halte Dukuh A,110.35521879380076,-7.821689730573439,2026-08-19T08:31:18.388Z,mapid_activities
6a8564d8bbd0aa678bab7c92,halte,Halte Dukuh B,110.35541361670408,-7.820929333911266,2026-08-19T08:10:00.568Z,mapid_activities
6a881492d57440d48a1f2ec3,halte,Halte Dusun Ngawen,110.34386479306067,-7.744987662888826,2026-08-21T09:04:18.698Z,mapid_activities
6a86de220235f477d35918c3,halte,Halte Edotel Kalasan A,110.48271546730604,-7.75677283791336,2026-08-20T10:59:46.361Z,mapid_activities
6a86be25460277aa8415118b,halte,Halte Eks Menara Kopi A,110.37010514084454,-7.789256599640282,2026-08-20T08:43:17.989Z,mapid_activities
6a86beab89acf23707a35190,halte,Halte Eks Menara Kopi B,110.37007950053442,-7.7894575408621165,2026-08-20T08:45:31.514Z,mapid_activities
6a82a16138bb192425f4b26e,halte,Halte Eks Stasiun Bantul,110.32934103284327,-7.887393105175448,2026-08-17T05:51:29.495Z,mapid_activities
6a8cf57152d86e03b51a5a67,halte,Halte FKG UGM A,110.37520499526164,-7.771397214324622,2026-08-25T01:52:49.314Z,mapid_activities
6a8cf67ceca288692ef36cd9,halte,Halte FKG UGM B,110.37534514299637,-7.771510215591562,2026-08-25T01:57:16.428Z,mapid_activities
6a93a40452d86e03b51e3e65,halte,Halte Gambiran A,110.39098195776171,-7.8169272310724836,2026-08-30T03:31:16.771Z,mapid_activities
6a93a3aadc237a3a8a7a1649,halte,Halte Gambiran B,110.39090624605723,-7.817090693396565,2026-08-30T03:29:46.813Z,mapid_activities
6a897b8752d86e03b5188d81,halte,Halte Gedong Kuning Banguntapan di Depan Kelurahan Banguntapan,110.40224632750494,-7.807300441435103,2026-08-22T10:35:51.414Z,mapid_activities
6a897f8e478dc3b356b78a98,halte,"Halte Gedong Kuning di Depan Kehutanan, Balai Daerah Aliran Sungai Serayu Opak Progo",110.40109093857126,-7.8196066507820206,2026-08-22T10:53:02.626Z,mapid_activities
6a939db0dc237a3a8a7a12dd,halte,Halte Gembira Loka A,110.40007064518875,-7.80223291459842,2026-08-30T03:04:16.970Z,mapid_activities
6a939c2052d86e03b51e3909,halte,Halte Gembira Loka B,110.39890006084181,-7.8021697986454654,2026-08-30T02:57:36.272Z,mapid_activities
6a85639f3dbe4dacc784adca,halte,Halte Gereja Pugeran A,110.3559019322164,-7.816596831411331,2026-08-19T08:04:47.995Z,mapid_activities
6a8563653dbe4dacc784ad68,halte,Halte Gereja Pugeran B,110.35596342232463,-7.816807431463346,2026-08-19T08:03:49.694Z,mapid_activities
6a89347152d86e03b51847e6,halte,Halte Gudang SGM B,110.39002507001555,-7.827243619843017,2026-08-22T05:32:33.073Z,mapid_activities
6a82b0c438bb192425f4c552,halte,Halte Hayam Wuruk A,110.3726422000492,-7.795566199997523,2026-08-17T06:57:08.363Z,mapid_activities
6a82af1e4fd70be4125cf44e,halte,Halte Hayam Wuruk B,110.37280618046145,-7.794565791929273,2026-08-17T06:50:06.727Z,mapid_activities
6a8a5eb90d6732db988bd7f1,halte,"Halte Hayam Wuruk Barat di Depan Taman Kanak Kanak Negeri 5 dan Dinas Pendidikan Kota Yogyakarta, serta di Sebrang Indomaret Lempuyangan",110.37264715713184,-7.795611352505858,2026-08-23T02:45:13.969Z,mapid_activities
6a86caf989acf23707a36360,halte,Halte Hotel Utara A,110.36100149127998,-7.7797239601825225,2026-08-20T09:38:01.026Z,mapid_activities
6a88263dd57440d48a1f481b,halte,Halte Hotel Utara B,110.36085277059749,-7.780389688727766,2026-08-21T10:19:41.663Z,mapid_activities
6a86baac0235f477d358e46e,halte,Halte Jalan Mataram,110.36803342412259,-7.794265961281729,2026-08-20T08:28:28.770Z,mapid_activities
6a8ba24b52d86e03b519bec8,halte,Halte Jend. Sudirman (Santika),110.36882439062049,-7.7827849512265175,2026-08-24T01:45:47.760Z,mapid_activities
6a82733d38bb192425f478c3,halte,Halte JIS Masih Aktif Meski Pintunya Pecah,110.40188790000002,-7.7609189,2026-08-17T02:34:37.439Z,mapid_activities
6a8d39db52d86e03b51a8ece,halte,Halte Jl. Colombo UNY,110.38656902084153,-7.777819224696188,2026-08-25T06:44:43.633Z,mapid_activities
6a8d7e2452d86e03b51adbe2,halte,Halte Jlagran stasiun Tugu,110.36186320559472,-7.789706112181804,2026-08-25T11:36:04.591Z,mapid_activities
6a8d3e30eca288692ef3a8fc,halte,Halte Jogokariyan A,110.36772397957435,-7.8238401652126015,2026-08-25T07:03:12.109Z,mapid_activities
