stop_id,stop_name,mode,candidate_activity_id,candidate_name,candidate_direction_code,longitude,latitude,observed_at,match_reason,score,rank,evidence_count
bus-gor-among-rogo-e2afbc5d,TPB GOR Among Rogo,bus,6a9392d352d86e03b51e30da,Halte Among Rogo B,,110.38488776011417,-7.798469504272177,2026-08-30T02:17:55.669Z,fuzzy,0.661538,2,1
bus-gudang-sgm-2-39feb111,TPB Gudang SGM 2,bus,6a89347152d86e03b51847e6,Halte Gudang SGM B,,110.39002507001555,-7.827243619843017,2026-08-22T05:32:33.073Z,fuzzy,0.750000,1,1
bus-gudang-sgm-c4a1d188,TPB Gudang SGM,bus,6a89347152d86e03b51847e6,Halte Gudang SGM B,,110.39002507001555,-7.827243619843017,2026-08-22T05:32:33.073Z,fuzzy,0.812121,1,1
bus-hayam-wuruk-e-c4b95c88,Hayam Wuruk (Timur),bus,6a82b0c438bb192425f4c552,Halte Hayam Wuruk A,,110.3726422000492,-7.795566199997523,2026-08-17T06:57:08.363Z,fuzzy,0.816667,1,1
bus-hayam-wuruk-e-c4b95c88,Hayam Wuruk (Timur),bus,6a82af1e4fd70be4125cf44e,Halte Hayam Wuruk B,,110.37280618046145,-7.794565791929273,2026-08-17T06:50:06.727Z,fuzzy,0.816667,2,1
bus-hayam-wuruk-w-b2b765b2,Hayam Wuruk (Barat),bus,6a82b0c438bb192425f4c552,Halte Hayam Wuruk A,,110.3726422000492,-7.795566199997523,2026-08-17T06:57:08.363Z,fuzzy,0.816667,1,1
bus-hayam-wuruk-w-b2b765b2,Hayam Wuruk (Barat),bus,6a82af1e4fd70be4125cf44e,Halte Hayam Wuruk B,,110.37280618046145,-7.794565791929273,2026-08-17T06:50:06.727Z,fuzzy,0.816667,2,1
bus-hotel-utara-e-a8afeab1,Hotel Utara (T),bus,6a86caf989acf23707a36360,Halte Hotel Utara A,,110.36100149127998,-7.7797239601825225,2026-08-20T09:38:01.026Z,fuzzy,0.816667,1,1
bus-hotel-utara-e-a8afeab1,Hotel Utara (T),bus,6a88263dd57440d48a1f481b,Halte Hotel Utara B,,110.36085277059749,-7.780389688727766,2026-08-21T10:19:41.663Z,fuzzy,0.816667,2,1
bus-hotel-utara-ea824463,Hotel Utara,bus,6a86caf989acf23707a36360,Halte Hotel Utara A,,110.36100149127998,-7.7797239601825225,2026-08-20T09:38:01.026Z,fuzzy,0.816667,1,1
bus-hotel-utara-ea824463,Hotel Utara,bus,6a88263dd57440d48a1f481b,Halte Hotel Utara B,,110.36085277059749,-7.780389688727766,2026-08-21T10:19:41.663Z,fuzzy,0.816667,2,1
bus-hotel-utara-w-13ce416a,Hotel Utara (B),bus,6a86caf989acf23707a36360,Halte Hotel Utara A,,110.36100149127998,-7.7797239601825225,2026-08-20T09:38:01.026Z,fuzzy,0.816667,1,1
bus-hotel-utara-w-13ce416a,Hotel Utara (B),bus,6a88263dd57440d48a1f481b,Halte Hotel Utara B,,110.36085277059749,-7.780389688727766,2026-08-21T10:19:41.663Z,fuzzy,0.816667,2,1
bus-jalan-colombo-samirono-0f6c71b2,JL Colombo (Samirono),bus,6a8d39db52d86e03b51a8ece,Halte Jl. Colombo UNY,,110.38656902084153,-7.777819224696188,2026-08-25T06:44:43.633Z,fuzzy,0.661538,1,1
bus-jalan-mataram-hotel-akur-bfbbe7b3,Jl. Mataram Hotel Akur,bus,6a86baac0235f477d358e46e,Halte Jalan Mataram,,110.36803342412259,-7.794265961281729,2026-08-20T08:28:28.770Z,fuzzy,0.621622,1,1
bus-jalan-solo-jayakarta-1c449de7,Halte Jl. Solo (Jayakarta),bus,6a82e6214fd70be4125d2fb9,Halte Trans Jogja - Halte Jalan Solo KR.1,,110.4505629589354,-7.781743084004972,2026-08-17T10:44:49.057Z,fuzzy,0.605714,1,1
bus-jalan-solo-jayakarta-1c449de7,Halte Jl. Solo (Jayakarta),bus,6a82e3344fd70be4125d2da1,Halte Trans Jogja - Halte Jalan Solo KR.2,,110.44874006597814,-7.782562289437621,2026-08-17T10:32:20.176Z,fuzzy,0.605714,2,1
bus-jalan-solo-kalasan-9e89bd29,TPB Jl. Solo Kalasan,bus,6a82dd1338bb192425f4f6cf,Halte Trans Jogja - Jl. Solo (Maguwo),,110.43091366895266,-7.783398800192629,2026-08-17T10:06:11.975Z,fuzzy,0.611429,1,1
bus-jend-sudirman-n-31ca1789,Jend. Sudirman (U),bus,6a8ba24b52d86e03b519bec8,Halte Jend. Sudirman (Santika),,110.36882439062049,-7.7827849512265175,2026-08-24T01:45:47.760Z,fuzzy,0.725490,1,1
bus-jogokariyan-72238fe9,Jogokariyan,bus,6a8d3e30eca288692ef3a8fc,Halte Jogokariyan A,,110.36772397957435,-7.8238401652126015,2026-08-25T07:03:12.109Z,fuzzy,0.750000,1,1
bus-jogokariyan-72238fe9,Jogokariyan,bus,6a8d3ec1eca288692ef3a988,Halte Jogokariyan B,,110.36784165747628,-7.823252720892327,2026-08-25T07:05:37.436Z,fuzzy,0.750000,2,1
bus-kantor-kal-sukoharjo-d97d4a8e,Kantor Kal. Sukoharjo,bus,6a82abfd38bb192425f4bef7,Halte Kantor Kal. Pendowoharjo A,,110.33947652623834,-7.863394360607018,2026-08-17T06:36:45.070Z,fuzzy,0.613333,1,1
bus-kantor-kal-sukoharjo-d97d4a8e,Kantor Kal. Sukoharjo,bus,6a82ab0d38bb192425f4bd80,Halte Kantor Kal. Pendowoharjo B,,110.33948455676943,-7.863724888175241,2026-08-17T06:32:45.133Z,fuzzy,0.613333,2,1
bus-kantor-kal-sukoharjo-n-6df8a6f4,Kantor Kal. Sukoharjo (U),bus,6a82abfd38bb192425f4bef7,Halte Kantor Kal. Pendowoharjo A,,110.33947652623834,-7.863394360607018,2026-08-17T06:36:45.070Z,fuzzy,0.613333,1,1
bus-kantor-kal-sukoharjo-n-6df8a6f4,Kantor Kal. Sukoharjo (U),bus,6a82ab0d38bb192425f4bd80,Halte Kantor Kal. Pendowoharjo B,,110.33948455676943,-7.863724888175241,2026-08-17T06:32:45.133Z,fuzzy,0.613333,2,1
bus-kantor-kal-sukoharjo-s-ae499464,Kantor Kal. Sukoharjo (S),bus,6a82abfd38bb192425f4bef7,Halte Kantor Kal. Pendowoharjo A,,110.33947652623834,-7.863394360607018,2026-08-17T06:36:45.070Z,fuzzy,0.613333,1,1
bus-kantor-kal-sukoharjo-s-ae499464,Kantor Kal. Sukoharjo (S),bus,6a82ab0d38bb192425f4bd80,Halte Kantor Kal. Pendowoharjo B,,110.33948455676943,-7.863724888175241,2026-08-17T06:32:45.133Z,fuzzy,0.613333,2,1
bus-kantor-kap-godean-n-0acc0655,Kantor Kap. Godean (U),bus,6a82a4ed4fd70be4125ce721,Halte Kantor Kap. Bantul,,110.33170883084773,-7.883524911426363,2026-08-17T06:06:37.561Z,fuzzy,0.658824,1,1
bus-kantor-kap-godean-s-c356edd6,Kantor Kap. Godean (S),bus,6a82a4ed4fd70be4125ce721,Halte Kantor Kap. Bantul,,110.33170883084773,-7.883524911426363,2026-08-17T06:06:37.561Z,fuzzy,0.658824,1,1
bus-kantor-kap-ngaglik-w-0025595c,Kantor Kap. Ngaglik (B),bus,6a82a4ed4fd70be4125ce721,Halte Kantor Kap. Bantul,,110.33170883084773,-7.883524911426363,2026-08-17T06:06:37.561Z,fuzzy,0.645714,1,1
bus-kantor-kapanewon-bantul-cdd6be86,Kantor Kapanewon Bantul,bus,6a82a4ed4fd70be4125ce721,Halte Kantor Kap. Bantul,,110.33170883084773,-7.883524911426363,2026-08-17T06:06:37.561Z,fuzzy,0.710000,1,1
bus-kantor-kelurahan-pendowoharjo-0862e377,Kantor Kelurahan Pendowoharjo,bus,6a82abfd38bb192425f4bef7,Halte Kantor Kal. Pendowoharjo A,,110.33947652623834,-7.863394360607018,2026-08-17T06:36:45.070Z,fuzzy,0.648889,1,1
bus-kantor-kelurahan-pendowoharjo-0862e377,Kantor Kelurahan Pendowoharjo,bus,6a82ab0d38bb192425f4bd80,Halte Kantor Kal. Pendowoharjo B,,110.33948455676943,-7.863724888175241,2026-08-17T06:32:45.133Z,fuzzy,0.648889,2,1
bus-karangjati-e-18a90a3c,Karangjati (Timur),bus,6a8435e6bb859bd06d94f987,Halte TPB Trans Jogja - Karangjati A,,110.36919915726202,-7.764116001012513,2026-08-18T10:37:26.620Z,fuzzy,0.745455,1,1
bus-karangjati-e-18a90a3c,Karangjati (Timur),bus,6a8436cabb859bd06d94fb41,Halte TPB Trans Jogja - Karangjati B,,110.36911458125758,-7.764429473272585,2026-08-18T10:41:14.953Z,fuzzy,0.745455,2,1
bus-karangjati-w-693f50d8,Karangjati (Barat),bus,6a8435e6bb859bd06d94f987,Halte TPB Trans Jogja - Karangjati A,,110.36919915726202,-7.764116001012513,2026-08-18T10:37:26.620Z,fuzzy,0.745455,1,1
bus-karangjati-w-693f50d8,Karangjati (Barat),bus,6a8436cabb859bd06d94fb41,Halte TPB Trans Jogja - Karangjati B,,110.36911458125758,-7.764429473272585,2026-08-18T10:41:14.953Z,fuzzy,0.745455,2,1
bus-karangwaru-e-d57a2b75,Karangwaru (T),bus,6a8287f89870dcf66e45637e,Bus Stop Halte Trans Jogja - Karangwaru,,110.36120706604345,-7.7718298755167226,2026-08-17T04:03:04.575Z,fuzzy,1.000000,1,1
bus-karangwaru-w-2eff8d12,Karangwaru (B),bus,6a8287f89870dcf66e45637e,Bus Stop Halte Trans Jogja - Karangwaru,,110.36120706604345,-7.7718298755167226,2026-08-17T04:03:04.575Z,fuzzy,1.000000,1,1
bus-kha-dahlan-n-3fb74d20,KHA Dahlan (Utara),bus,6a855e58bbd0aa678bab72c7,Halte KHA Dahlan A,,110.36014288772952,-7.801236698318434,2026-08-19T07:42:16.614Z,fuzzy,0.812121,1,1
bus-kha-dahlan-n-3fb74d20,KHA Dahlan (Utara),bus,6a856fcabbd0aa678bab8a39,Halte KHA Dahlan B,,110.36040363174106,-7.8011562542099,2026-08-19T08:56:42.414Z,fuzzy,0.812121,2,1
bus-kha-dahlan-s-065936ef,KHA Dahlan (S),bus,6a855e58bbd0aa678bab72c7,Halte KHA Dahlan A,,110.36014288772952,-7.801236698318434,2026-08-19T07:42:16.614Z,fuzzy,0.812121,1,1
bus-kha-dahlan-s-065936ef,KHA Dahlan (S),bus,6a856fcabbd0aa678bab8a39,Halte KHA Dahlan B,,110.36040363174106,-7.8011562542099,2026-08-19T08:56:42.414Z,fuzzy,0.812121,2,1
bus-kkp-yogyakarta-w-5da3477b,KKP Yogyakarta (B),bus,6a8a8dda52d86e03b519227c,TPB Trans Jogja - Stasiun Yogyakarta,,110.36179815416784,-7.789620476123076,2026-08-23T06:06:18.544Z,fuzzy,0.700000,1,1
bus-kkp-yogyakarta-w-5da3477b,KKP Yogyakarta (B),bus,6a8929d6478dc3b356b72ecf,Halte UNU Yogyakarta,,110.37641803537275,-7.819695073497641,2026-08-22T04:47:18.055Z,fuzzy,0.604762,2,1
bus-kompi-senapan-c-s-e0038af6,Kompi Senapan-C (Selatan),bus,6a881c1fd57440d48a1f3af3,Halte Kompi Senapan-C,,110.33256331627194,-7.777350027437976,2026-08-21T09:36:31.574Z,fuzzy,1.000000,1,1
bus-kosudgama-n-88e06d80,Kosudgama (U),bus,6a8d081852d86e03b51a643e,Halte Kosudgama,,110.37864509142526,-7.776162838724844,2026-08-25T03:12:24.423Z,fuzzy,1.000000,1,1
bus-lempuyangan-gudang-n-dc79fb4e,Lempuyangan Gudang (Utara),bus,6a82aa139870dcf66e458f1f,Halte Stasiun Lempuyangan,,110.37746284627354,-7.790234774910843,2026-08-17T06:28:35.004Z,fuzzy,0.655172,1,1
bus-lowanu-792a5ebc,TPB Lowanu,bus,6a89267052d86e03b5183591,Halte Lowanu A,,110.37603009886237,-7.817054694483318,2026-08-22T04:32:48.572Z,fuzzy,0.714286,1,1
bus-lowanu-792a5ebc,TPB Lowanu,bus,6a89274552d86e03b51835ec,Halte Lowanu B,,110.37598738283009,-7.8168996664160915,2026-08-22T04:36:21.599Z,fuzzy,0.714286,2,1
bus-maguwo-sambilegi-n-96f67e3b,Maguwo Sambilegi (U),bus,6a89603752d86e03b5187006,Halte Trans Jogja - Maguwo Sambilegi,,110.43107793646948,-7.783381604426211,2026-08-22T08:39:19.369Z,fuzzy,1.000000,1,1
bus-malioboro-2-kepatihan-edeea5b5,Halte Malioboro 2 (Kepatihan),bus,6a85506ebbd0aa678bab6390,Halte Malioboro 2,,110.36559857460782,-7.795185718747462,2026-08-19T06:42:54.514Z,fuzzy,0.679167,1,1
bus-man-1-yogyakarta-f2a678cf,MAN 1 Yogyakarta,bus,6a8d799852d86e03b51acfac,HALTE SMPN 1 YOGYAKARTA,,110.37573404625363,-7.777552952341509,2026-08-25T11:16:40.317Z,fuzzy,0.745455,1,1
bus-man-1-yogyakarta-f2a678cf,MAN 1 Yogyakarta,bus,6a8296039870dcf66e45770d,Halte TPB Trans Jogja - SMPN 1 Yogyakarta A,,110.3758011677686,-7.777510405191844,2026-08-17T05:02:59.415Z,fuzzy,0.674286,2,1
bus-man-1-yogyakarta-f2a678cf,MAN 1 Yogyakarta,bus,6a8294c44fd70be4125cd48b,Halte TPB Trans Jogja - SMPN 1 Yogyakarta B,,110.37570315906709,-7.777900750484262,2026-08-17T04:57:40.954Z,fuzzy,0.674286,3,1
bus-mcd-jakal-e-a028dcde,McD Jakal (T),bus,6a89118b52d86e03b5181907,Halte McD Jakal,,110.37992598967958,-7.762818007809386,2026-08-22T03:03:39.098Z,fuzzy,1.000000,1,1
bus-mirota-godean-n-b3b375ef,Mirota Godean (U),bus,6a881ff9d57440d48a1f3e49,Halte Mirota Godean A,,110.34974498502766,-7.781089730154192,2026-08-21T09:52:57.550Z,fuzzy,0.823810,1,1
bus-mirota-godean-n-b3b375ef,Mirota Godean (U),bus,6a882071d57440d48a1f3edc,Halte Mirota Godean B,,110.35042226104406,-7.781236342222343,2026-08-21T09:54:57.732Z,fuzzy,0.823810,2,1
bus-mirota-godean-s-d95775a6,Mirota Godean (S),bus,6a881ff9d57440d48a1f3e49,Halte Mirota Godean A,,110.34974498502766,-7.781089730154192,2026-08-21T09:52:57.550Z,fuzzy,0.823810,1,1
bus-mirota-godean-s-d95775a6,Mirota Godean (S),bus,6a882071d57440d48a1f3edc,Halte Mirota Godean B,,110.35042226104406,-7.781236342222343,2026-08-21T09:54:57.732Z,fuzzy,0.823810,2,1
bus-mmtc-yogya-27d0c99b,MMTC Yogya,bus,6a8276c070c999b67933d100,Aksesibilitas Halte Trans Jogja - MMTC Yogyakarta,,110.36207457674249,-7.753191901082519,2026-08-17T02:49:36.022Z,fuzzy,0.613333,1,1
bus-monjali-n-7719f0b6,Monjali (Utara),bus,6a8432efbb859bd06d94f679,Halte Trans Jogja - Monjali A,,110.36769187033116,-7.750480947112415,2026-08-18T10:24:47.169Z,fuzzy,0.725000,1,1
bus-monjali-n-7719f0b6,Monjali (Utara),bus,6a8430a8bb859bd06d94f54c,Halte Trans Jogja - Monjali B,,110.36873148163761,-7.750906622111017,2026-08-18T10:15:04.502Z,fuzzy,0.725000,2,1
